Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course,Placement(Y/N)?,Required job role ,
sanjana_sen32@gmail.com,Sanjana Sen,Female,ICSE,88,WBCHSE,64.6,Information Technology,9.37,Yes,No,0,No,2,2,Placed,Cloud Engineer,
urmi_biswas99@gmail.com,Urmi Biswas,Female,WBBSE,73,WBCHSE,75.9,Artificial Intelligence and Machine Learning,7.1,No,Yes,2,Yes,3,4,Not Placed,Machine Learning Engineer,
trisha_sharma9@gmail.com,Trisha Sharma,Female,State Board,96,ISE,85.6,Artificial Intelligence and Data Science,7.19,Yes,No,1,Yes,3,2,Not Placed,Data Analyst,
poulami_chakraborty52@gmail.com,Poulami Chakraborty,Female,WBBSE,78.4,WBCHSE,66.8,Artificial Intelligence and Machine Learning,8.03,No,No,0,No,2,1,Not Placed,Machine Learning Engineer,
ayesha_kar40@gmail.com,Ayesha Kar,Female,CBSE,71.7,CBSE,74.4,Artificial Intelligence and Data Science,8.43,No,No,0,Yes,1,3,Placed,Data Analyst,
nisha_bhowmick6@gmail.com,Nisha Bhowmick,Female,CBSE,93,ISE,62.5,Artificial Intelligence and  Machine Learning,9.01,Yes,No,0,Yes,2,4,Placed,Data Analyst,
ayush_kumar_rai64@gmail.com,Ayush Kumar Rai,Male,CBSE,72.8,Other state Board,94.7,Artificial Intelligence and Data Science,8.09,No,Yes,0,Yes,3,2,Placed,Business Analyst,
manoj_mitra16@gmail.com,Manoj Mitra,Male,State Board,96.8,Other state Board,65.8,Artificial Intelligence and Data Science,7.58,No,Yes,0,No,2,4,Placed,Data Analyst,
khusi_srivastava38@gmail.com,Khusi Srivastava,Female,ICSE,93.2,CBSE,82,Computer Science ,8.4,Yes,Yes,0,No,1,3,Placed,Full Stack Developer,
urmi_sarkar87@gmail.com,Urmi Sarkar,Female,ICSE,84.7,CBSE,67.1,Computer Science,8.62,Yes,No,0,No,2,1,Not Placed,Cyber Security Analyst,
indira_kumari47@gmail.com,Indira Kumari,Female,WBBSE,70.1,Other state Board,82.2,Computer Science ,8.11,No,Yes,0,No,3,4,Placed,Full Stack Developer,
dipankar_mahato14@gmail.com,Dipankar Mahato,Male,CBSE,92.8,Other state Board,68.2,Cyber Security Engineer,8.24,Yes,Yes,0,Yes,3,2,Placed,Cyber Security Analyst,
niloy_dutta68@gmail.com,Niloy Dutta,Male,ICSE,97.2,CBSE,78.6,Artificial Intelligence and Data Science,8.69,Yes,No,0,No,1,3,Placed,Data Analyst,
joy_banerjee17@gmail.com,Joy Banerjee,Male,ICSE,99.5,CBSE,77.5,Computer Science,7.07,Yes,Yes,2,Yes,2,1,Not Placed,Machine Learning Engineer,
ishika_kapoor91@gmail.com,Ishika Kapoor,Female,ICSE,99.3,ISE,73.8,Cyber Security Engineer,7.56,No,Yes,0,Yes,3,4,Placed,Cyber Security Analyst,
anand_kumar55@gmail.com,Anand Kumar,Male,State Board,81.7,ISE,84.4,Artificial Intelligence and Data Science,7.75,Yes,Yes,0,Yes,4,2,Placed,Data Analyst,
sanjana_kumari17@gmail.com,Sanjana Kumari,Female,State Board,99.5,ISE,83.2,Artificial Intelligence and Data Science,7.68,No,No,0,Yes,5,3,Placed,Business Analyst,
madhuri_srivastava5@gmail.com,Madhuri Srivastava,Female,ICSE,77.1,WBCHSE,66.9,Artificial Intelligence and Machine Learning,7.16,No,Yes,0,No,5,1,Not Placed,Machine Learning Engineer,
dheeraj_mandal25@gmail.com,Dheeraj Mandal,Male,State Board,80.8,CBSE,85.3,Information Technology,8.94,No,No,0,Yes,1,3,Placed,Cloud Engineer,
payal_shukla62@gmail.com,Payal Shukla,Female,CBSE,88.5,WBCHSE,81.8,Artificial Intelligence and Data Science,9.21,Yes,Yes,0,No,5,2,Placed,Business Analyst,
rakesh_das12@gmail.com,Rakesh Das,Male,State Board,90.8,CBSE,62.2,Computer Science,7.67,Yes,Yes,0,Yes,4,1,Not Placed,Software Developer,
diya_patel47@gmail.com,Diya Patel,Female,State Board,83.1,ISE,74.5,Artificial Intelligence and  Machine Learning,9.39,Yes,Yes,0,Yes,2,2,Placed,Data Analyst,
naira_chauhan54@gmail.com,Naira Chauhan,Female,CBSE,90,ISE,86.4,Artificial Intelligence And Machine Learning,7.94,Yes,No,0,Yes,3,4,Placed,AI Engineer,
indira_pandey90@gmail.com,Indira Pandey,Female,CBSE,71.5,CBSE,70.3,Information Technology,8.31,No,No,0,Yes,2,3,Placed,Cloud Engineer,
amit_bera15@gmail.com,Amit Bera,Male,WBBSE,95.6,ISE,68.7,Artificial Intelligence and Machine Learning,9.26,Yes,No,0,Yes,2,4,Placed,Machine Learning Engineer,
chandan_verma70@gmail.com,Chandan Verma,Male,ICSE,94.7,CBSE,67.2,Computer Science,9.47,Yes,No,0,Yes,2,3,Placed,Machine Learning Engineer,
indrajit_bhattacharya59@gmail.com,Indrajit Bhattacharya,Male,CBSE,80.5,WBCHSE,83.1,Computer Science,7.41,Yes,No,0,Yes,4,2,Placed,Software Developer,
payal_rao14@gmail.com,Payal Rao,Female,ICSE,80.8,ISE,73.5,Cyber Security Engineer,8.16,Yes,Yes,2,Yes,3,3,Not Placed,Cyber Security Analyst,
swastikbose98@gmail.com,Swastik Bose,Male,WBBSE,92.5,WBCHSE,93,Artificial Intelligence and Data Science,8.25,Yes,No,0,Yes,3,4,Placed,Data Analyst,
dheeraj_kumar39@gmail.com,Dheeraj Kumar,Male,State Board,90.1,CBSE,92.3,Artificial Intelligence and Machine Learning,7.99,Yes,No,0,Yes,2,3,Placed,Cloud Engineer,
samaira_rao81@gmail.com,Samaira Rao,Female,WBBSE,86.6,WBCHSE,76,Cyber Security Engineer,8.17,Yes,No,0,Yes,5,1,Not Placed,Cyber Security Analyst,
alok_das8@gmail.com,Alok Das,Male,CBSE,83.2,CBSE,69.5,Artificial Intelligence and Data Science,7.12,No,Yes,1,No,5,2,Not Placed,Business Analyst,
shadwrsi9074@gmail.com,Shad Warsi,Male,State Board,57.7,Other state Board,56.7,Artificial Intelligence And Machine Learning,8.26,No,Yes,0,Yes,3,3,Placed,AI Engineer,
neeraj_thakur10@gmail.com,Neeraj Thakur,Male,State Board,77.1,ISE,92.7,Artificial Intelligence and Data Science,9.05,Yes,Yes,0,Yes,2,2,Placed,Business Analyst,
koushiki_ghosh50@gmail.com,Koushiki Ghosh,Female,State Board,91.1,CBSE,91.1,Cyber Security Engineer,8.08,Yes,Yes,0,No,4,1,Not Placed,Cyber Security Analyst,
neeraj_chauhan7@gmail.com,Neeraj Chauhan,Male,State Board,95.8,Other state Board,72.1,Cyber Security Engineer,9.37,No,No,0,Yes,1,2,Placed,Cyber Security Analyst,
ankita_mazumdar91@gmail.com,Ankita Mazumdar,Female,CBSE,71.6,Other state Board,63.3,Computer Science,9.36,Yes,Yes,0,Yes,1,3,Placed,Software Developer,
suman_chatterjee69@gmail.com,Suman Chatterjee,Male,State Board,99.7,ISE,93.3,Artificial Intelligence and Data Science,8.3,Yes,Yes,0,No,2,2,Placed,Business Analyst,
debika_mandal86@gmail.com,Debika Mandal,Female,State Board,79.9,ISE,79,Computer Science ,9.14,Yes,No,0,Yes,1,1,Not Placed,Full Stack Developer,
kumarsumit84344@gmail.com,Sumit kumar,Male,ICSE,75,CBSE,70,Artificial Intelligence and Machine Learning,8,No,Yes,0,Yes,2,3,Placed,Data Analyst,
aparna_agarwal62@gmail.com,Aparna Agarwal,Female,ICSE,86.3,Other state Board,85.1,Artificial Intelligence and Data Science,9.13,Yes,Yes,0,Yes,1,2,Not Placed,Data Analyst,
adarsh_rana13@gmail.com,Adarsh Rana,Male,ICSE,82,Other state Board,71.7,Artificial Intelligence and Data Science,8.15,No,Yes,0,No,5,3,Placed,Business Analyst,
anupama_verma63@gmail.com,Anupama Verma,Female,CBSE,82.4,Other state Board,72.3,Information Technology,7.59,Yes,No,0,Yes,3,4,Placed,Cloud Engineer,
nikhil_kumar_rai87@gmail.com,Nikhil Kumar Rai,Male,CBSE,79.8,CBSE,88.8,Information Technology,9.07,Yes,Yes,0,Yes,5,2,Placed,Cloud Engineer,
harshpatel28.ait@gmail.com,Harsh Patel,Male,State Board,61,Other state Board,53,Artificial Intelligence And Machine Learning,7.1,Yes,Yes,3,Yes,3,2,Not Placed,AI Engineer,
naira_kapoor2@gmail.com,Naira Kapoor,Female,CBSE,71.2,Other state Board,81.1,Information Technology,8.68,Yes,Yes,0,Yes,3,3,Placed,Cloud Engineer,
abhirup_chatterjee68@gmail.com,Abhirup Chatterjee,Male,State Board,80.4,WBCHSE,92.1,Artificial Intelligence and Data Science,8.66,No,Yes,0,Yes,1,2,Not Placed,Data Analyst,
suhana_sharma95@gmail.com,Suhana Sharma,Female,CBSE,72,ISE,84.8,Cyber Security Engineer,7.5,Yes,No,0,No,3,3,Placed,Cyber Security Analyst,
indrajit_bera80@gmail.com,Indrajit Bera,Male,CBSE,72.2,Other state Board,88.6,Computer Science,7.85,Yes,Yes,0,Yes,5,4,Placed,Cyber Security Analyst,
piyali_sharma62@gmail.com,Piyali Sharma,Female,CBSE,88.2,CBSE,78.1,Artificial Intelligence And Machine Learning,7.78,Yes,Yes,0,Yes,4,3,Placed,AI Engineer,
suvankar_sen65@gmail.com,Suvankar Sen,Male,State Board,73.8,ISE,77.6,Artificial Intelligence and Machine Learning,8.22,No,Yes,0,No,2,3,Placed,Machine Learning Engineer,
diya_mandal77@gmail.com,Diya Mandal,Female,ICSE,86.8,CBSE,71.6,Computer Science,8.15,Yes,Yes,0,No,2,2,Not Placed,Machine Learning Engineer,
ananya_ganguly41@gmail.com,Ananya Ganguly,Female,CBSE,78.8,CBSE,60.9,Cyber Security Engineer,8.06,Yes,Yes,0,No,1,2,Not Placed,Cyber Security Analyst,
shubham_kumar27@gmail.com,Shubham Kumar,Male,State Board,96.5,ISE,78.4,Artificial Intelligence and Data Science,7.71,Yes,Yes,0,Yes,1,1,Not Placed,Data Analyst,
vikas_thakur55@gmail.com,Vikas Thakur,Male,State Board,88.8,CBSE,69.3,Artificial Intelligence and  Machine Learning,8.02,No,Yes,0,Yes,4,4,Placed,Data Analyst,
manoj_mukherjee81@gmail.com,Manoj Mukherjee,Male,WBBSE,85.4,WBCHSE,75.6,Artificial Intelligence and Data Science,9.16,Yes,No,0,Yes,1,3,Not Placed,Data Analyst,
payal_yadav62@gmail.com,Payal Yadav,Female,ICSE,78.2,ISE,74.7,Artificial Intelligence and Machine Learning,8.65,Yes,Yes,0,Yes,5,4,Placed,Machine Learning Engineer,
mousumi_mahato5@gmail.com,Mousumi Mahato,Female,State Board,80,Other state Board,62.3,Artificial Intelligence And Machine Learning,8.68,No,No,0,Yes,2,3,Placed,AI Engineer,
rina_paul51@gmail.com,Rina Paul,Female,WBBSE,80.8,WBCHSE,85.4,Artificial Intelligence and Data Science,8.41,Yes,Yes,0,No,3,1,Not Placed,Data Analyst,
nisha_yadav90@gmail.com,Nisha Yadav,Female,WBBSE,97.9,WBCHSE,63.1,Artificial Intelligence and Data Science,9.3,Yes,Yes,0,Yes,1,2,Placed,Business Analyst,
joy_das44@gmail.com,Joy Das,Male,CBSE,87.5,WBCHSE,77.8,Information Technology,8.01,No,No,0,Yes,5,2,Placed,Cloud Engineer,
manish_sharma45@gmail.com,Manish Sharma,Male,ICSE,79.9,ISE,82.9,Artificial Intelligence And Machine Learning,8.45,Yes,Yes,0,Yes,1,4,Placed,AI Engineer,
urmi_mahato93@gmail.com,Urmi Mahato,Female,ICSE,86.2,CBSE,76.8,Cyber Security Engineer,9.12,No,Yes,0,No,2,2,Placed,Cyber Security Analyst,
samik_nandi60@gmail.com,Samik Nandi,Male,ICSE,79.6,ISE,68,Information Technology,7.92,No,No,0,No,4,1,Not Placed,Cloud Engineer,
arpita_dey16@gmail.com,Arpita Dey,Female,WBBSE,98.4,Other state Board,72.6,Artificial Intelligence and Data Science,9.24,Yes,No,0,Yes,1,3,Placed,Data Analyst,
susmita_kapoor60@gmail.com,Susmita Kapoor,Female,ICSE,94.1,WBCHSE,68.6,Artificial Intelligence and  Machine Learning,8.99,Yes,Yes,0,Yes,2,2,Placed,Data Analyst,
trisha_modi81@gmail.com,Trisha Modi,Female,WBBSE,70,ISE,66.3,Artificial Intelligence and Data Science,7.24,No,No,0,Yes,4,3,Placed,Data Analyst,
joy_banerjee15@gmail.com,Joy Banerjee,Male,State Board,85.7,CBSE,63.1,Artificial Intelligence and Data Science,7.14,No,Yes,0,No,5,4,Placed,Business Analyst,
smita_bhat61@gmail.com,Smita Bhat,Female,WBBSE,84.3,ISE,86.1,Artificial Intelligence and Machine Learning,8.35,No,Yes,0,Yes,3,2,Placed,Cloud Engineer,
madhurima_pal56@gmail.com,Madhurima Pal,Female,State Board,97.5,ISE,69.4,Computer Science,8.93,Yes,Yes,0,Yes,2,1,Not Placed,Cyber Security Analyst,
rakesh_kumar_singh33@gmail.com,Rakesh Kumar Singh,Male,ICSE,91.1,CBSE,65.6,Computer Science ,8.8,Yes,Yes,0,Yes,1,4,Placed,Full Stack Developer,
rina_mitra18@gmail.com,Rina Mitra,Female,WBBSE,83.7,CBSE,79.9,Computer Science,9.29,Yes,Yes,0,No,2,3,Placed,Cloud Engineer,
soma_mitra76@gmail.com,Soma Mitra,Female,WBBSE,73.6,CBSE,84.2,Computer Science ,8.4,Yes,No,0,Yes,2,4,Placed,Full Stack Developer,
samik_kar21@gmail.com,Samik Kar,Male,CBSE,99.9,CBSE,65.1,Computer Science,9.11,Yes,Yes,0,Yes,2,4,Placed,Software Developer,
tapan_sengupta32@gmail.com,Tapan Sengupta,Male,CBSE,71.1,CBSE,81.1,Artificial Intelligence and Data Science,7.65,Yes,Yes,0,Yes,2,3,Placed,Data Analyst,
vidya_mahato8@gmail.com,Vidya Mahato,Female,State Board,94.3,Other state Board,90.9,Artificial Intelligence and Machine Learning,7.86,Yes,Yes,0,Yes,4,4,Placed,Machine Learning Engineer,
debika_bhowmick14@gmail.com,Debika Bhowmick,Female,WBBSE,74.4,WBCHSE,82.3,Artificial Intelligence and  Machine Learning,7.22,No,Yes,0,Yes,3,4,Placed,Data Analyst,
nshreds18@gmail.com,Shraddha nigam,Female,State Board,82,Other state Board,83,Artificial Intelligence and Data Science,6.5,Yes,Yes,4,Yes,4,2,Not Placed,Data Analyst,
rajesh_sinha26@gmail.com,Rajesh Sinha,Male,State Board,83.5,ISE,72.5,Computer Science ,8.62,Yes,No,0,Yes,5,3,Placed,Full Stack Developer,
ghoshbiswajit2406@gmail.com,Biswajit Ghosh,Male,WBBSE,88.6,WBCHSE,82.6,Computer Science ,9.32,Yes,No,0,Yes,3,4,Placed,Full Stack Developer,
jaykumarjk3235@gmail.com,Jay Kumar Ray,Male,State Board,73.8,BSEB,70.3,Artificial Intelligence and Data Science,8.89,Yes,Yes,0,Yes,4,2,Placed,Data Analyst,
shubham_kumar_singh61@gmail.com,Shubham Kumar Singh,Male,ICSE,98.8,ISE,85.3,Information Technology,7.16,Yes,No,0,Yes,2,4,Placed,Cloud Engineer,
trisha_singh54@gmail.com,Trisha Singh,Female,State Board,83.9,CBSE,74.9,Artificial Intelligence and Machine Learning,8.15,No,Yes,0,Yes,2,4,Placed,Machine Learning Engineer,
suvankar_dey42@gmail.com,Suvankar Dey,Male,ICSE,78.7,Other state Board,60.9,Information Technology,7.5,Yes,Yes,0,Yes,2,3,Placed,Cloud Engineer,
utpalmajee91@gmail.com,UTPAL MAJEE,Male,CBSE,45,WBCHSE,45,Artificial Intelligence And Machine Learning,5.5,No,Yes,5,Yes,3,4,Not Placed,AI Engineer,
sankaranimesh1234@gmail.com,Sankar Nayak,Male,WBBSE,70,WBCHSE,82,Artificial Intelligence and Machine Learning,8.3,Yes,No,0,yes,3,3,Placed,Machine Learning Engineer,
arnab_choudhury87@gmail.com,Arnab Choudhury,Male,WBBSE,82.3,ISE,68.1,Artificial Intelligence and Data Science,8.26,No,No,0,Yes,2,2,Placed,Data Analyst,
manoj_bhowmick98@gmail.com,Manoj Bhowmick,Male,ICSE,82.4,ISE,82.9,Artificial Intelligence and Data Science,8.06,Yes,No,0,No,5,2,Placed,Data Analyst,
tithi_goswami59@gmail.com,Tithi Goswami,Female,CBSE,74.8,ISE,84.9,Computer Science,7.42,Yes,No,0,Yes,1,1,Not Placed,Cyber Security Analyst,
samir_roy25@gmail.com,Samir Roy,Male,CBSE,94.6,ISE,84.9,Cyber Security Engineer,8.68,Yes,Yes,0,No,2,1,Not Placed,Cyber Security Analyst,
jitesh_sinha49@gmail.com,Jitesh Sinha,Male,CBSE,86.4,ISE,72.3,Artificial Intelligence and Machine Learning,9.35,Yes,Yes,0,No,5,4,Placed,Machine Learning Engineer,
mita_dutta21@gmail.com,Mita Dutta,Female,WBBSE,88.6,WBCHSE,65.8,Computer Science,7.37,No,Yes,0,No,2,2,Placed,Cloud Engineer,
adarsh_das18@gmail.com,Adarsh Das,Male,State Board,97.8,ISE,94.2,Artificial Intelligence and Data Science,9.19,Yes,No,0,Yes,5,3,Placed,Data Analyst,
mandira_kapoor63@gmail.com,Mandira Kapoor,Female,ICSE,88.8,CBSE,89.1,Artificial Intelligence And Machine Learning,8.34,Yes,Yes,0,No,1,1,Not Placed,AI Engineer,
smita_yadav92@gmail.com,Smita Yadav,Female,State Board,86.7,CBSE,86.7,Computer Science ,7.77,Yes,No,0,Yes,2,4,Placed,Full Stack Developer,
manish_sinha90@gmail.com,Manish Sinha,Male,CBSE,83.5,CBSE,61.1,Artificial Intelligence and  Machine Learning,8.85,No,No,0,Yes,1,3,Placed,Data Analyst,
pawan_sah12@gmail.com,Pawan Sah,Male,ICSE,99.8,ISE,75.4,Information Technology,7.89,Yes,Yes,0,Yes,5,2,Placed,Cloud Engineer,
abhijit_chatterjee6@gmail.com,Abhijit Chatterjee,Male,WBBSE,94.2,CBSE,90,Computer Science,7.89,Yes,No,0,No,3,1,Not Placed,Cloud Engineer,
sanjay.kaur@example.com,Sanjay Kaur,Male,CBSE,78,CBSE,70.2,Artificial Intelligence and  Machine Learning,7.37,No,No,2,Yes,1,4,Not Placed,Data Analyst,
atul.madan@example.net,Atul Madan,Male,ICSE,96.7,WBCHSE,90.6,Artificial Intelligence and Data Science,9.35,No,Yes,0,No,1,3,Placed,Data Analyst,
anil.s@example.com,Anil Saxena,Male,State Board,96.2,CBSE,69.6,Information Technology,7.84,No,No,1,Yes,4,2,Not Placed,Cloud Engineer,
dev576@example.com,Dev Nayak,Male,ICSE,97.5,Other state Board,77.6,Artificial Intelligence and Machine Learning,7.87,Yes,Yes,1,Yes,5,2,Not Placed,Machine Learning Engineer,
siddharth_mistry@example.com,Siddharth Mistry,Male,CBSE,96.9,CBSE,62.8,Information Technology,9.26,Yes,No,0,Yes,3,2,Placed,Cloud Engineer,
nsaxena@example.com,Naina Saxena,Female,WBBSE,99.1,CBSE,86,Artificial Intelligence and Data Science,9.2,Yes,Yes,0,Yes,4,3,Placed,Business Analyst,
svijay@example.com,Shiv Vijay,Male,WBBSE,85.5,CBSE,83.4,Computer Science ,8.83,Yes,No,0,No,1,2,Placed,Full Stack Developer,
sunil.sinha@example.com,Sunil Sinha,Male,WBBSE,98.2,Diploma,82.1,Artificial Intelligence and Data Science,7.52,Yes,No,2,No,2,1,Not Placed,Data Analyst,
kiran@example.com,Kiran Sood,Male,ICSE,79.4,Other state Board,83.2,Cyber Security Engineer,7.06,No,No,2,Yes,4,2,Not Placed,Cyber Security Analyst,
sonal@example.org,Sonal Zaveri,Female,CBSE,88,CBSE,70.9,Computer Science ,7.34,No,No,2,Yes,5,1,Not Placed,Full Stack Developer,
abajaj@example.org,Anika Bajaj,Female,WBBSE,84.3,Other state Board,67.9,Computer Science,7.12,No,Yes,2,No,4,3,Not Placed,Software Developer,
rhea_mohan@example.net,Rhea Mohan,Female,State Board,84.1,ISE,95,Artificial Intelligence and Machine Learning,8.87,Yes,No,0,Yes,1,2,Placed,Data Analyst,
diya.saxena@example.com,Diya Saxena,Female,ICSE,97.8,CBSE,79.8,Cyber Security Engineer,7.13,Yes,Yes,2,No,1,3,Not Placed,Cyber Security Analyst,
lakshya.r375@example.com,Lakshya Reddy,Male,ICSE,83,Other state Board,62,Artificial Intelligence And Machine Learning,7.18,Yes,Yes,2,Yes,1,3,Not Placed,AI Engineer,
krishnasrivastava@example.net,Krishna Srivastava,Male,ICSE,78.5,CBSE,73.2,Artificial Intelligence and Data Science,9.14,Yes,No,0,Yes,4,2,Placed,Business Analyst,
sanya548@example.net,Sanya Iyer,Female,State Board,95.9,Other state Board,68.9,Information Technology,7.58,No,Yes,1,Yes,4,3,Not Placed,Cloud Engineer,
faiz.m@example.net,Faiz Malhotra,Male,WBBSE,75,CBSE,88.6,Cyber Security Engineer,7.66,Yes,No,1,No,5,2,Not Placed,Cyber Security Analyst,
shikhaaggarwal@example.com,Shikha Aggarwal,Female,CBSE,89.8,WBCHSE,87.6,Artificial Intelligence and Data Science,8.92,Yes,Yes,0,Yes,4,3,Placed,Data Analyst,
diya.deshmukh@example.org,Diya Deshmukh,Female,WBBSE,93.6,ISE,80.2,Artificial Intelligence and Data Science,7.17,Yes,Yes,2,No,4,3,Not Placed,Data Analyst,
amol324@example.com,Amol Nair,Male,WBBSE,87.4,CBSE,78,Artificial Intelligence and  Machine Learning,7.51,No,Yes,1,Yes,3,2,Not Placed,Data Analyst,
saurabh.b660@example.org,Saurabh Bose,Male,WBBSE,96.3,Other state Board,77.3,Artificial Intelligence and Data Science,8.97,No,No,0,Yes,5,1,Not Placed,Data Analyst,
avnirao@example.net,Avni Rao,Female,ICSE,82.4,ISE,88.9,Information Technology,8.79,No,Yes,0,Yes,5,1,Placed,Cloud Engineer,
priya_rao@example.net,Priya Rao,Female,ICSE,87.6,CBSE,68.2,Artificial Intelligence and Machine Learning,8.1,Yes,No,0,Yes,4,3,Placed,Machine Learning Engineer,
madhavsubramanian@example.net,Madhav Subramanian,Male,ICSE,76.9,Other state Board,87.2,Computer Science,7.08,No,Yes,2,Yes,3,2,Not Placed,Software Developer,
nirav.jain@example.com,Nirav Jain,Male,WBBSE,72.8,CBSE,68.1,Artificial Intelligence and Data Science,7.79,No,Yes,1,No,3,3,Not Placed,Data Analyst,
bhavanagautam@example.net,Bhavana Gautam,Male,CBSE,98.2,CBSE,71.2,Cyber Security Engineer,7.78,Yes,No,2,Yes,2,2,Not Placed,Cyber Security Analyst,
amol.t@example.org,Amol Thakur,Male,CBSE,89.3,CBSE,77.2,Artificial Intelligence and Data Science,7.22,No,Yes,1,Yes,2,2,Not Placed,Data Analyst,
pavan13@example.net,Pavan Prasad,Male,State Board,90.2,CBSE,80.1,Computer Science,8.84,Yes,No,0,Yes,3,2,Placed,Cloud Engineer,
simran_kaur@example.org,Simran Kaur,Female,CBSE,77.9,Other state Board,84.2,Artificial Intelligence and Machine Learning,9.37,Yes,Yes,0,Yes,1,3,Placed,Machine Learning Engineer,
skapadia@example.org,Suraj Kapadia,Male,CBSE,98.5,WBCHSE,93.7,Artificial Intelligence and Machine Learning,8.98,Yes,No,0,Yes,2,4,Placed,Machine Learning Engineer,
chaitra.zaveri@example.net,Chaitra Zaveri,Female,ICSE,72.2,ISE,92.2,Artificial Intelligence And Machine Learning,8.85,Yes,Yes,0,Yes,4,3,Placed,AI Engineer,
gauri.ghosh@example.com,Gauri Ghosh,Female,ICSE,93.4,ISE,86.4,Information Technology,7.8,Yes,No,0,Yes,2,3,Placed,Cloud Engineer,
vgautam@example.net,Vikas Gautam,Male,WBBSE,85.6,ISE,79.6,Artificial Intelligence and Data Science,9.26,Yes,Yes,0,No,5,2,Placed,Data Analyst,
dlal@example.net,Darpan Lal,Male,CBSE,94.6,CBSE,74.1,Artificial Intelligence and  Machine Learning,7.01,No,Yes,2,Yes,1,1,Not Placed,Data Analyst,
yamini@example.com,Yamini Agarwal,Female,State Board,79.6,CBSE,73.4,Information Technology,8.87,No,Yes,0,No,1,12,Placed,Cloud Engineer,
arnav.subramanian247@example.com,Arnav Subramanian,Male,CBSE,73.8,WBCHSE,94.3,Cyber Security Engineer,9,Yes,No,0,Yes,3,3,Placed,Cyber Security Analyst,
esha.reddy@example.org,Esha Reddy,Female,State Board,77.8,WBCHSE,80.9,Artificial Intelligence and Data Science,7.74,No,Yes,2,Yes,4,2,Not Placed,Data Analyst,
trisha.gupta@example.com,Trisha Gupta,Female,WBBSE,77.6,ISE,67.1,Artificial Intelligence and Data Science,8.48,Yes,Yes,0,Yes,3,2,Placed,Data Analyst,
asha.p171@example.org,Asha Parekh,Female,WBBSE,71,CBSE,66.4,Artificial Intelligence and Data Science,7.05,No,No,2,Yes,5,3,Not Placed,Business Analyst,
pavan.a953@example.net,Pavan Adhikari,Male,CBSE,94.1,CBSE,70.2,Information Technology,7.16,No,Yes,2,No,1,2,Not Placed,Cloud Engineer,
suhail_setia@example.org,Suhail Setia,Male,CBSE,72.1,WBCHSE,67.3,Artificial Intelligence and Data Science,7.95,Yes,No,1,No,3,2,Not Placed,Data Analyst,
madhav_saxena@example.net,Madhav Saxena,Male,State Board,82.6,WBCHSE,67.4,Artificial Intelligence and Data Science,7.88,No,Yes,1,Yes,1,1,Not Placed,Data Analyst,
nainakhan@example.org,Naina Khan,Female,WBBSE,71.9,ISE,74.2,Information Technology,8.86,Yes,Yes,1,Yes,4,3,Not Placed,Cloud Engineer,
advait@example.com,Advait Saxena,Male,State Board,80.5,WBCHSE,80.4,Computer Science ,7.65,Yes,Yes,0,Yes,2,2,Placed,Full Stack Developer,
aarav_iyer@example.com,Aarav Iyer,Male,State Board,87.2,Other state Board,79,Computer Science,9.34,Yes,No,0,Yes,3,2,Placed,Software Developer,
vishal.deshmukh@example.net,Vishal Deshmukh,Male,WBBSE,70.3,WBCHSE,82.5,Information Technology,8.52,No,Yes,0,Yes,3,4,Placed,Cloud Engineer,
esha_reddy@example.net,Esha Reddy,Female,State Board,75.2,ISE,91.2,Artificial Intelligence and Data Science,8.65,No,Yes,0,Yes,3,1,Placed,Data Analyst,
asha@example.com,Asha Dalal,Female,ICSE,78.9,Other state Board,62.6,Cyber Security Engineer,7.1,No,Yes,1,Yes,1,1,Not Placed,Cyber Security Analyst,
tanvi.bhattacharya@example.com,Tanvi Bhattacharya,Female,State Board,86.3,CBSE,89.8,Information Technology,7.09,Yes,Yes,2,No,4,1,Not Placed,Cloud Engineer,
arjun.p@example.org,Arjun Parekh,Male,ICSE,96.9,CBSE,85.4,Computer Science ,7.64,No,No,1,Yes,4,2,Not Placed,Full Stack Developer,
naman.setia@example.com,Naman Setia,Male,CBSE,75.9,ISE,81.7,Computer Science,8.57,Yes,Yes,0,Yes,3,2,Placed,Machine Learning Engineer,
amara_tripathi@example.com,Amara Tripathi,Female,WBBSE,99.6,CBSE,92.5,Artificial Intelligence and Data Science,7.69,Yes,Yes,1,Yes,4,3,Not Placed,Data Analyst,
faizmohan@example.com,Faiz Mohan,Male,WBBSE,95,CBSE,65.1,Cyber Security Engineer,7.57,No,Yes,1,No,2,2,Not Placed,Cyber Security Analyst,
mmodi@example.com,Milan Modi,Male,ICSE,72,WBCHSE,73.2,Artificial Intelligence and Machine Learning,9.23,Yes,No,0,Yes,3,1,Not Placed,Machine Learning Engineer,
mira.bajaj@example.net,Mira Bajaj,Female,CBSE,88.6,Other state Board,76.1,Computer Science,9.51,Yes,No,0,Yes,1,2,Placed,Machine Learning Engineer,
usha.bhat@example.com,Usha Bhat,Female,CBSE,80.7,CBSE,90,Cyber Security Engineer,8.15,Yes,Yes,0,Yes,1,3,Placed,Cyber Security Analyst,
